geography_index,geography,geography_name,variable,marginal,person_or_household,year
3,taz,3,hh_size_3,33,NA,2015
3,taz,3,hh_size_4_plus,6,NA,2015
3,taz,3,hh_wrks_0,57,NA,2015
3,taz,3,hh_wrks_1,149,NA,2015
3,taz,3,hh_wrks_2,58,NA,2015
3,taz,3,hh_wrks_3_plus,4,NA,2015
3,taz,3,hh_kids_no,249,NA,2015
3,taz,3,hh_kids_yes,19,NA,2015
3,taz,3,HHINCQ1,125,NA,2015
3,taz,3,HHINCQ2,55,NA,2015
3,taz,3,HHINCQ3,43,NA,2015
3,taz,3,HHINCQ4,45,NA,2015
3,taz,3,AGE0004,20,NA,2015
3,taz,3,AGE0519,25,NA,2015
3,taz,3,AGE2044,201,NA,2015
3,taz,3,AGE4564,129,NA,2015
3,taz,3,AGE65P,128,NA,2015
3,taz,3,gq_tot_pop,40,NA,2015
3,taz,3,gq_type_univ,10,NA,2015
3,taz,3,gq_type_mil,0,NA,2015
3,taz,3,gq_type_othnon,30,NA,2015
3,taz,3,numhh_gq,308,NA,2015
3,taz,3,hh_size_1_gq,162,NA,2015
4,taz,4,TOTHH,52,NA,2015
4,taz,4,TOTPOP,85,NA,2015
4,taz,4,hh_size_1,37,NA,2015
4,taz,4,hh_size_2,11,NA,2015
4,taz,4,hh_size_3,2,NA,2015
4,taz,4,hh_size_4_plus,2,NA,2015
4,taz,4,hh_wrks_0,11,NA,2015
4,taz,4,hh_wrks_1,29,NA,2015
4,taz,4,hh_wrks_2,11,NA,2015
4,taz,4,hh_wrks_3_plus,1,NA,2015
4,taz,4,hh_kids_no,48,NA,2015
4,taz,4,hh_kids_yes,4,NA,2015
4,taz,4,HHINCQ1,18,NA,2015
4,taz,4,HHINCQ2,22,NA,2015
4,taz,4,HHINCQ3,7,NA,2015
4,taz,4,HHINCQ4,5,NA,2015
4,taz,4,AGE0004,2,NA,2015
4,taz,4,AGE0519,4,NA,2015
4,taz,4,AGE2044,41,NA,2015
4,taz,4,AGE4564,32,NA,2015
4,taz,4,AGE65P,6,NA,2015
4,taz,4,gq_tot_pop,8,NA,2015
4,taz,4,gq_type_univ,2,NA,2015
4,taz,4,gq_type_mil,0,NA,2015
4,taz,4,gq_type_othnon,6,NA,2015
4,taz,4,numhh_gq,60,NA,2015
4,taz,4,hh_size_1_gq,45,NA,2015
5,taz,5,TOTHH,497,NA,2015
5,taz,5,TOTPOP,810,NA,2015
5,taz,5,hh_size_1,358,NA,2015
5,taz,5,hh_size_2,106,NA,2015
5,taz,5,hh_size_3,15,NA,2015
5,taz,5,hh_size_4_plus,18,NA,2015
5,taz,5,hh_wrks_0,105,NA,2015
5,taz,5,hh_wrks_1,277,NA,2015
5,taz,5,hh_wrks_2,107,NA,2015
5,taz,5,hh_wrks_3_plus,8,NA,2015
5,taz,5,hh_kids_no,461,NA,2015
5,taz,5,hh_kids_yes,36,NA,2015
5,taz,5,HHINCQ1,168,NA,2015
5,taz,5,HHINCQ2,215,NA,2015
5,taz,5,HHINCQ3,65,NA,2015
5,taz,5,HHINCQ4,49,NA,2015
5,taz,5,AGE0004,20,NA,2015
5,taz,5,AGE0519,38,NA,2015
5,taz,5,AGE2044,385,NA,2015
5,taz,5,AGE4564,306,NA,2015
5,taz,5,AGE65P,61,NA,2015
5,taz,5,gq_tot_pop,78,NA,2015
5,taz,5,gq_type_univ,20,NA,2015
5,taz,5,gq_type_mil,0,NA,2015
5,taz,5,gq_type_othnon,58,NA,2015
5,taz,5,numhh_gq,575,NA,2015
5,taz,5,hh_size_1_gq,436,NA,2015
6,taz,6,TOTHH,2139,NA,2015
6,taz,6,TOTPOP,3949,NA,2015
6,taz,6,hh_size_1,1153,NA,2015
6,taz,6,hh_size_2,915,NA,2015
6,taz,6,hh_size_3,31,NA,2015
6,taz,6,hh_size_4_plus,40,NA,2015
6,taz,6,hh_wrks_0,275,NA,2015
6,taz,6,hh_wrks_1,1203,NA,2015
6,taz,6,hh_wrks_2,626,NA,2015
6,taz,6,hh_wrks_3_plus,35,NA,2015
6,taz,6,hh_kids_no,2064,NA,2015
6,taz,6,hh_kids_yes,75,NA,2015
6,taz,6,HHINCQ1,554,NA,2015
6,taz,6,HHINCQ2,808,NA,2015
6,taz,6,HHINCQ3,517,NA,2015
6,taz,6,HHINCQ4,260,NA,2015
6,taz,6,AGE0004,83,NA,2015
6,taz,6,AGE0519,441,NA,2015
6,taz,6,AGE2044,2620,NA,2015
6,taz,6,AGE4564,546,NA,2015
6,taz,6,AGE65P,259,NA,2015
6,taz,6,gq_tot_pop,525,NA,2015
6,taz,6,gq_type_univ,525,NA,2015
6,taz,6,gq_type_mil,0,NA,2015
6,taz,6,gq_type_othnon,0,NA,2015
6,taz,6,numhh_gq,2664,NA,2015
